States,year,quarter,brand,user_counts,percentage
Andaman & Nicobar Islands,2021,3,Samsung,12028,18%
Andaman & Nicobar Islands,2021,3,Oppo,5853,9%
Andaman & Nicobar Islands,2021,3,Realme,4808,7%
Andaman & Nicobar Islands,2021,3,OnePlus,2306,3%
Andaman & Nicobar Islands,2021,3,Huawei,1567,2%
Andaman & Nicobar Islands,2021,3,Apple,1283,2%
Andaman & Nicobar Islands,2021,3,Tecno,1178,2%
Andaman & Nicobar Islands,2021,3,Motorola,1017,2%
Andaman & Nicobar Islands,2021,3,Others,4593,7%
Andaman & Nicobar Islands,2021,4,Vivo,17597,25%
Andaman & Nicobar Islands,2021,4,Xiaomi,16968,24%
Andaman & Nicobar Islands,2021,4,Samsung,12574,18%
Andaman & Nicobar Islands,2021,4,Oppo,6127,9%
Andaman & Nicobar Islands,2021,4,Realme,5830,8%
Andaman & Nicobar Islands,2021,4,OnePlus,2691,4%
Andaman & Nicobar Islands,2021,4,Apple,1490,2%
Andaman & Nicobar Islands,2021,4,Huawei,1459,2%
Andaman & Nicobar Islands,2021,4,Tecno,1417,2%
Andaman & Nicobar Islands,2021,4,Motorola,1055,1%
Andaman & Nicobar Islands,2021,4,Others,4572,6%
Andaman & Nicobar Islands,2022,1,Vivo,18688,24%
Andaman & Nicobar Islands,2022,1,Xiaomi,17957,24%
Andaman & Nicobar Islands,2022,1,Samsung,12955,17%
Andaman & Nicobar Islands,2022,1,Realme,6769,9%
Andaman & Nicobar Islands,2022,1,Oppo,6461,8%
Andaman & Nicobar Islands,2022,1,OnePlus,3005,4%
Andaman & Nicobar Islands,2022,1,Tecno,1770,2%
Andaman & Nicobar Islands,2022,1,Apple,1634,2%
Andaman & Nicobar Islands,2022,1,Huawei,1441,2%
Andaman & Nicobar Islands,2022,1,Motorola,1050,1%
Andaman & Nicobar Islands,2022,1,Others,4558,6%
Andhra Pradesh,2018,1,Xiaomi,836581,25%
Andhra Pradesh,2018,1,Samsung,683687,20%
Andhra Pradesh,2018,1,Vivo,425959,13%
Andhra Pradesh,2018,1,Oppo,304487,9%
Andhra Pradesh,2018,1,Realme,236646,7%
Andhra Pradesh,2018,1,Motorola,129739,4%
Andhra Pradesh,2018,1,OnePlus,129421,4%
Andhra Pradesh,2018,1,Apple,123274,4%
Andhra Pradesh,2018,1,Lenovo,84138,3%
Andhra Pradesh,2018,1,Huawei,76654,2%
Andhra Pradesh,2018,1,Others,305864,9%
Andhra Pradesh,2018,2,Xiaomi,1113800,25%
Andhra Pradesh,2018,2,Samsung,903290,21%
Andhra Pradesh,2018,2,Vivo,586965,13%
Andhra Pradesh,2018,2,Oppo,410549,9%
Andhra Pradesh,2018,2,Realme,305964,7%
Andhra Pradesh,2018,2,Motorola,169847,4%
Andhra Pradesh,2018,2,OnePlus,155418,4%
Andhra Pradesh,2018,2,Apple,151847,3%
Andhra Pradesh,2018,2,Lenovo,107441,2%
Andhra Pradesh,2018,2,Huawei,102929,2%
Andhra Pradesh,2018,2,Others,394490,9%
Andhra Pradesh,2018,3,Xiaomi,1385112,26%
Andhra Pradesh,2018,3,Samsung,1103186,20%
Andhra Pradesh,2018,3,Vivo,761793,14%
Andhra Pradesh,2018,3,Oppo,518120,10%
Andhra Pradesh,2018,3,Realme,379712,7%
Andhra Pradesh,2018,3,Motorola,203756,4%
Andhra Pradesh,2018,3,OnePlus,181364,3%
Andhra Pradesh,2018,3,Apple,175343,3%
Andhra Pradesh,2018,3,Huawei,134429,2%
Andhra Pradesh,2018,3,Lenovo,122489,2%
Andhra Pradesh,2018,3,Others,462313,9%
Andhra Pradesh,2018,4,Xiaomi,1753802,26%
Andhra Pradesh,2018,4,Samsung,1388061,20%
Andhra Pradesh,2018,4,Vivo,1011185,15%
Andhra Pradesh,2018,4,Oppo,675093,10%
Andhra Pradesh,2018,4,Realme,476746,7%
Andhra Pradesh,2018,4,Motorola,250601,4%
Andhra Pradesh,2018,4,OnePlus,210161,3%
Andhra Pradesh,2018,4,Apple,209737,3%
Andhra Pradesh,2018,4,Huawei,176237,3%
Andhra Pradesh,2018,4,Lenovo,149583,2%
Andhra Pradesh,2018,4,Others,556203,8%
Andhra Pradesh,2019,1,Xiaomi,2110547,25%
Andhra Pradesh,2019,1,Samsung,1688342,20%
Andhra Pradesh,2019,1,Vivo,1262871,15%
Andhra Pradesh,2019,1,Oppo,835541,10%
Andhra Pradesh,2019,1,Realme,564832,7%
Andhra Pradesh,2019,1,Motorola,291830,4%
Andhra Pradesh,2019,1,Apple,241108,3%
Andhra Pradesh,2019,1,OnePlus,237269,3%
Andhra Pradesh,2019,1,Huawei,220082,3%
Andhra Pradesh,2019,1,Lenovo,171471,2%
Andhra Pradesh,2019,1,Others,659126,8%
Andhra Pradesh,2019,2,Xiaomi,2389374,25%
Andhra Pradesh,2019,2,Samsung,1914378,20%
Andhra Pradesh,2019,2,Vivo,1466695,16%
Andhra Pradesh,2019,2,Oppo,963352,10%
Andhra Pradesh,2019,2,Realme,641519,7%
Andhra Pradesh,2019,2,Motorola,324778,3%
Andhra Pradesh,2019,2,Apple,264860,3%
Andhra Pradesh,2019,2,OnePlus,254273,3%
Andhra Pradesh,2019,2,Huawei,250859,3%
Andhra Pradesh,2019,2,Lenovo,189151,2%
Andhra Pradesh,2019,2,Others,729764,8%
Andhra Pradesh,2019,3,Xiaomi,2656468,25%
Andhra Pradesh,2019,3,Samsung,2123659,20%
Andhra Pradesh,2019,3,Vivo,1674109,16%
Andhra Pradesh,2019,3,Oppo,1087660,10%
Andhra Pradesh,2019,3,Realme,727964,7%
Andhra Pradesh,2019,3,Motorola,348910,3%
Andhra Pradesh,2019,3,Apple,286412,3%
Andhra Pradesh,2019,3,Huawei,282587,3%
Andhra Pradesh,2019,3,OnePlus,271100,3%
Andhra Pradesh,2019,3,Lenovo,194180,2%
Andhra Pradesh,2019,3,Others,805644,8%
Andhra Pradesh,2019,4,Xiaomi,2985953,25%
Andhra Pradesh,2019,4,Samsung,2379139,20%
Andhra Pradesh,2019,4,Vivo,1922141,16%
Andhra Pradesh,2019,4,Oppo,1241235,11%
Andhra Pradesh,2019,4,Realme,844668,7%
Andhra Pradesh,2019,4,Motorola,381692,3%
Andhra Pradesh,2019,4,Huawei,317290,3%
Andhra Pradesh,2019,4,Apple,308354,3%
Andhra Pradesh,2019,4,OnePlus,286412,2%
Andhra Pradesh,2019,4,Lenovo,208785,2%
Andhra Pradesh,2019,4,Others,882214,8%
Andhra Pradesh,2020,1,Xiaomi,3307542,25%
Andhra Pradesh,2020,1,Samsung,2622762,20%
Andhra Pradesh,2020,1,Vivo,2165012,17%
Andhra Pradesh,2020,1,Oppo,1387060,11%
Andhra Pradesh,2020,1,Realme,960418,7%
Andhra Pradesh,2020,1,Motorola,411062,3%
Andhra Pradesh,2020,1,Huawei,348324,3%
Andhra Pradesh,2020,1,Apple,329329,3%
Andhra Pradesh,2020,1,OnePlus,298911,2%
Andhra Pradesh,2020,1,Lenovo,227154,2%
Andhra Pradesh,2020,1,Others,964486,7%
Andhra Pradesh,2020,2,Xiaomi,3635594,25%
Andhra Pradesh,2020,2,Samsung,2888149,20%
Andhra Pradesh,2020,2,Vivo,2409399,17%
Andhra Pradesh,2020,2,Oppo,1535129,11%
Andhra Pradesh,2020,2,Realme,1072165,7%
Andhra Pradesh,2020,2,Motorola,445380,3%
Andhra Pradesh,2020,2,Huawei,379220,3%
Andhra Pradesh,2020,2,Apple,348938,2%
Andhra Pradesh,2020,2,OnePlus,309208,2%
Andhra Pradesh,2020,2,Lenovo,243288,2%
Andhra Pradesh,2020,2,Others,1053205,7%
Andhra Pradesh,2020,3,Xiaomi,3978789,25%
Andhra Pradesh,2020,3,Samsung,3154020,20%
Andhra Pradesh,2020,3,Vivo,2687996,17%
Andhra Pradesh,2020,3,Oppo,1695723,11%
Andhra Pradesh,2020,3,Realme,1207622,8%
Andhra Pradesh,2020,3,Motorola,477313,3%
Andhra Pradesh,2020,3,Huawei,408520,3%
Andhra Pradesh,2020,3,Apple,370327,2%
Andhra Pradesh,2020,3,OnePlus,322028,2%
Andhra Pradesh,2020,3,Lenovo,260912,2%
Andhra Pradesh,2020,3,Others,1129155,7%
Andhra Pradesh,2020,4,Xiaomi,4325662,25%
Andhra Pradesh,2020,4,Samsung,3419866,20%
