States,year,quarter,District,trans_counts,amount
Maharashtra,2021,2,Mumbai District,7493859,13269905417.180561
Maharashtra,2021,2,Sindhudurg District,744195,1343035806.176563
Maharashtra,2021,2,Dhule District,4332008,8554199986.2613325
Maharashtra,2021,2,Wardha District,2139522,3699297145
Maharashtra,2021,2,Parbhani District,4436069,8209849173.250013
Maharashtra,2021,2,Mumbai Suburban District,51172626,79709409341.93018
Maharashtra,2021,2,Hingoli District,1723420,3436318356.586167
Maharashtra,2021,2,Ratnagiri District,1425394,2433599392.983591
Maharashtra,2021,2,Nanded District,6605754,14281557245.03413
Maharashtra,2021,2,Osmanabad District,4779631,9350468423.935926
Maharashtra,2021,2,Nagpur District,22506189,36690120293.721405
Maharashtra,2021,2,Buldhana District,5761237,12195032520.59851
Maharashtra,2021,2,Nashik District,28391827,47825836433.598206
Maharashtra,2021,2,Akola District,3118344,5603968802.647449
Maharashtra,2021,2,Yavatmal District,3570984,6810703585.523739
Maharashtra,2021,2,Aurangabad District,23744887,36191383377
Maharashtra,2021,2,Amravati District,6482349,11779345148.38451
Maharashtra,2021,2,Washim District,27190170,55251595071.35002
Maharashtra,2021,2,Sangli District,6227375,11675925279.76992
Maharashtra,2021,2,Gadchiroli District,1212525,2440258252.3546352
Maharashtra,2021,2,Raigad District,11509927,16915509520.36308
Maharashtra,2021,2,Palghar District,8657621,12997801116.85217
Maharashtra,2021,2,Jalna District,4973393,9302678916.188164
Maharashtra,2021,2,Gondia District,1714392,3601577353.661885
Maharashtra,2021,2,Ahmednagar District,16869500,32660327252.892723
Maharashtra,2021,2,Pune District,218732925,2.98657E+11
Maharashtra,2021,2,Beed District,6303927,13880929754.807592
Maharashtra,2021,2,Satara District,8589362,13372484168
Maharashtra,2021,3,Jalgaon District,11683707,20222318554.82865
Maharashtra,2021,3,Latur District,9248789,15056539122.121681
Maharashtra,2021,3,Thane District,46296081,66370065441.36949
Maharashtra,2021,3,Bhandara District,2346620,4177653275.837865
Maharashtra,2021,3,Nandurbar District,2294230,4289557263.303294
Maharashtra,2021,3,Chandrapur District,5223272,7710188968.380587
Maharashtra,2021,3,Kolhapur District,11008132,17285308890.913483
Maharashtra,2021,3,Solapur District,22642205,41800216299.60483
Maharashtra,2021,3,Mumbai District,11491677,20168312966.81647
Maharashtra,2021,3,Sindhudurg District,901040,1629829529.591305
Maharashtra,2021,3,Dhule District,5529023,10014453951.958511
Maharashtra,2021,3,Wardha District,2839183,4424402893.294242
Maharashtra,2021,3,Parbhani District,6675022,10674377409.49122
Maharashtra,2021,3,Mumbai Suburban District,67846531,100494598469.0651
Maharashtra,2021,3,Hingoli District,2161199,3965562680.570984
Maharashtra,2021,3,Ratnagiri District,1682108,2812554265.759897
Maharashtra,2021,3,Nanded District,8916177,16631083455.66839
Maharashtra,2021,3,Osmanabad District,6137588,10879099861.92512
Maharashtra,2021,3,Nagpur District,29998841,44274024437.65408
Maharashtra,2021,3,Buldhana District,7413428,13612640871.00666
Maharashtra,2021,3,Nashik District,39927545,60198709473.80904
Maharashtra,2021,3,Akola District,4155570,6724928544.716701
Maharashtra,2021,3,Yavatmal District,4696326,8082506308.227328
Maharashtra,2021,3,Aurangabad District,32667108,45343695947.53139
Maharashtra,2021,3,Amravati District,8512827,13891877202.07629
Maharashtra,2021,3,Washim District,47716080,89156949627.79579
Maharashtra,2021,3,Sangli District,8352537,14641584802.92689
Maharashtra,2021,3,Gadchiroli District,1543698,2975813665.779912
Maharashtra,2021,3,Raigad District,15666356,21716387176.67745
Maharashtra,2021,3,Palghar District,11918989,17245742713.728382
Maharashtra,2021,3,Jalna District,6262192,10808380341.003181
Maharashtra,2021,3,Gondia District,2236319,4202183466
Maharashtra,2021,3,Ahmednagar District,23270731,41445914645.10296
Maharashtra,2021,3,Pune District,303322956,372243656247.4718
Maharashtra,2021,3,Beed District,8279040,16758879510.504042
Maharashtra,2021,3,Satara District,12010933,17327306884.548172
Maharashtra,2021,4,Jalgaon District,15456402,26909954530.424904
Maharashtra,2021,4,Latur District,12678966,20736966202.77146
Maharashtra,2021,4,Thane District,58731186,82756618879
Maharashtra,2021,4,Bhandara District,3014353,5371508386.170332
Maharashtra,2021,4,Nandurbar District,3087075,5793563146.987923
Maharashtra,2021,4,Chandrapur District,7009727,10412294822.20895
Maharashtra,2021,4,Kolhapur District,15202155,23311142306.11304
Maharashtra,2021,4,Solapur District,29893044,53557566277.62863
Maharashtra,2021,4,Mumbai District,15677222,27535270022.96809
Maharashtra,2021,4,Sindhudurg District,1243850,2234445565.547666
Maharashtra,2021,4,Dhule District,7402020,13203246956.78204
Maharashtra,2021,4,Wardha District,3741381,5948081630
Maharashtra,2021,4,Parbhani District,8899067,13987558040.08242
Maharashtra,2021,4,Mumbai Suburban District,92733033,134616103622.6073
Maharashtra,2021,4,Hingoli District,2951247,5448438919.118405
Maharashtra,2021,4,Ratnagiri District,2267617,3804549056.286895
Maharashtra,2021,4,Nanded District,12362404,23236313336.13468
Maharashtra,2021,4,Osmanabad District,8478583,14851847464
Maharashtra,2021,4,Nagpur District,37294016,55504861303
Maharashtra,2021,4,Buldhana District,9965367,18366614804.86343
Maharashtra,2021,4,Nashik District,50753398,77325087055.88705
Maharashtra,2021,4,Akola District,5575093,9105402246.049797
Maharashtra,2021,4,Yavatmal District,6325995,11009717772
Maharashtra,2021,4,Aurangabad District,42089766,58225600205.24055
Maharashtra,2021,4,Amravati District,10748480,18826698543.573563
Maharashtra,2021,4,Washim District,58312102,108918964843.6331
Maharashtra,2021,4,Sangli District,11336302,19350815032.95449
Maharashtra,2021,4,Gadchiroli District,2019389,3876064979.517034
Maharashtra,2021,4,Raigad District,19999796,27241010089.090332
Maharashtra,2021,4,Palghar District,15141805,21820045142.227592
Maharashtra,2021,4,Jalna District,8350020,14344117826.98929
Maharashtra,2021,4,Gondia District,2933396,5371056519.087561
Maharashtra,2021,4,Ahmednagar District,30809337,53652623922.42543
Maharashtra,2021,4,Pune District,371337618,454584743765.0556
Maharashtra,2021,4,Beed District,10966370,21562077522.84112
Maharashtra,2021,4,Satara District,15943920,22557502388.359077
Maharashtra,2022,1,Jalgaon District,17757988,30555178757.005993
Maharashtra,2022,1,Latur District,15356835,23856260979
Maharashtra,2022,1,Thane District,66420329,91604299445.99771
Maharashtra,2022,1,Bhandara District,3461274,6404864501.433441
Maharashtra,2022,1,Nandurbar District,3622329,7060445513.077811
Maharashtra,2022,1,Chandrapur District,8245169,12334491815.90076
Maharashtra,2022,1,Kolhapur District,17433041,26386491968.922462
Maharashtra,2022,1,Solapur District,35130037,62436627060.52482
Maharashtra,2022,1,Mumbai District,17957610,30021552307.219612
Maharashtra,2022,1,Sindhudurg District,1428957,2551979373.6666465
Maharashtra,2022,1,Dhule District,8541986,14920655481.69098
Maharashtra,2022,1,Wardha District,4351919,6817775708.436134
Maharashtra,2022,1,Parbhani District,10320054,15871955896.82719
Maharashtra,2022,1,Mumbai Suburban District,104595313,148080835860.6061
Maharashtra,2022,1,Hingoli District,3618468,6309169659.715816
Maharashtra,2022,1,Ratnagiri District,2707601,4494723116.141416
Maharashtra,2022,1,Nanded District,14832112,26944854915.83584
Maharashtra,2022,1,Osmanabad District,9757272,17024101045.58456
Maharashtra,2022,1,Nagpur District,43072958,63065806665.247505
Maharashtra,2022,1,Buldhana District,11747608,20901275712.18042
Maharashtra,2022,1,Nashik District,59914404,89903593917.99501
Maharashtra,2022,1,Akola District,6689313,10723857464.53849
Maharashtra,2022,1,Yavatmal District,7555408,12885201280.95284
Maharashtra,2022,1,Aurangabad District,48288544,66140008400.38048
Maharashtra,2022,1,Amravati District,12901295,21513429781.136063
Maharashtra,2022,1,Washim District,73700274,136398563399.82822
Maharashtra,2022,1,Sangli District,13407114,22867674942.15447
Maharashtra,2022,1,Gadchiroli District,2430940,4667653819
Maharashtra,2022,1,Raigad District,22836136,30642123149.62334
Maharashtra,2022,1,Palghar District,17329583,24541321852.48381
Maharashtra,2022,1,Jalna District,9770142,16932733608.181572
Maharashtra,2022,1,Gondia District,3447926,6533829706.610293
Maharashtra,2022,1,Ahmednagar District,35927347,61917805949.94818
Maharashtra,2022,1,Pune District,424149132,508475101454.57983
Maharashtra,2022,1,Beed District,12794151,24332097862.90231
Maharashtra,2022,1,Satara District,18005869,25280931606
Maharashtra,2022,2,Jalgaon District,20794365,36575989749.60019
Maharashtra,2022,2,Latur District,18128124,28958359286.009144
Maharashtra,2022,2,Thane District,76359706,103706480304.36009
Maharashtra,2022,2,Bhandara District,4092003,7232792765.616951
Maharashtra,2022,2,Nandurbar District,4250672,8304946450.368533
Maharashtra,2022,2,Chandrapur District,9797860,14673749839.35247
Maharashtra,2022,2,Kolhapur District,20243542,30132865372.25327
Maharashtra,2022,2,Solapur District,41690075,74367210007.30444
Maharashtra,2022,2,Mumbai District,21906382,34652240504
Maharashtra,2022,2,Sindhudurg District,1651248,2911299845.9586983
Maharashtra,2022,2,Dhule District,10013481,17251071062.99606
Maharashtra,2022,2,Wardha District,5184451,8180933329.541676
Maharashtra,2022,2,Parbhani District,12237389,19217813799.99737
Maharashtra,2022,2,Mumbai Suburban District,125227570,172590494011.9373
Maharashtra,2022,2,Hingoli District,4251385,7588716856.174571
Maharashtra,2022,2,Ratnagiri District,3132835,5132970050.331276
Maharashtra,2022,2,Nanded District,17724135,32660155636.06818
Maharashtra,2022,2,Osmanabad District,11489907,20295780297.44027
Maharashtra,2022,2,Nagpur District,52065290,75751126721.70934
Maharashtra,2022,2,Buldhana District,13912064,24793582296.67922
Maharashtra,2022,2,Nashik District,69128782,103031323327.35521
Maharashtra,2022,2,Akola District,7921437,12695451606.79903
Maharashtra,2022,2,Yavatmal District,9164377,15619715763.35762
Maharashtra,2022,2,Aurangabad District,55248137,75915458866.51474
Maharashtra,2022,2,Amravati District,15342341,24924375837.13264
Maharashtra,2022,2,Washim District,98129806,175926949614.3733
Maharashtra,2022,2,Sangli District,15400605,25758452266.26726
Maharashtra,2022,2,Gadchiroli District,2879207,5569253888
Maharashtra,2022,2,Raigad District,26465986,34460851150.86925
Maharashtra,2022,2,Palghar District,19395512,26988617829.23101
Maharashtra,2022,2,Jalna District,11306875,19653230057.99549
Maharashtra,2022,2,Gondia District,4154419,7653207776.307781
Maharashtra,2022,2,Ahmednagar District,42201172,72250021262.47775
Maharashtra,2022,2,Pune District,520321567,620747087392.5974
Maharashtra,2022,2,Beed District,15497524,30601828692.24545
Maharashtra,2022,2,Satara District,20822882,29497978656.27469
Maharashtra,2022,3,Jalgaon District,21047727,34617511595.94443
Maharashtra,2022,3,Latur District,17812129,26257685563.77079
Maharashtra,2022,3,Thane District,80605581,103768554261.10449
Maharashtra,2022,3,Bhandara District,4087395,6757463931
Maharashtra,2022,3,Nandurbar District,4162280,7210686511
Maharashtra,2022,3,Chandrapur District,9596226,13325464158.33204
Maharashtra,2022,3,Kolhapur District,24897514,35290411636.721405
Maharashtra,2022,3,Solapur District,43898093,73768556417
Maharashtra,2022,3,Mumbai District,72051672,98270574413.60028
Maharashtra,2022,3,Sindhudurg District,1433464,2330071830.464361
Maharashtra,2022,3,Dhule District,9760928,16123090143.38452
Maharashtra,2022,3,Wardha District,5641625,8211699040.492933
Maharashtra,2022,3,Parbhani District,9856335,15073054825.29373
Maharashtra,2022,3,Mumbai Suburban District,197724164,247678975470.4897
Maharashtra,2022,3,Hingoli District,4340017,6879672883
Maharashtra,2022,3,Ratnagiri District,3379494,4901770245.492907
Maharashtra,2022,3,Nanded District,18419096,30054993788.27726
Maharashtra,2022,3,Osmanabad District,11529406,18578961710.001022
Maharashtra,2022,3,Nagpur District,73292524,101188934110.49721
Maharashtra,2022,3,Buldhana District,14234928,22499077830.358402
Maharashtra,2022,3,Nashik District,75574380,109529218251.0842
Maharashtra,2022,3,Akola District,8839710,12866344717.433132
Maharashtra,2022,3,Yavatmal District,10601620,16269071013.62193
Maharashtra,2022,3,Aurangabad District,59756919,78617594736.37457
Maharashtra,2022,3,Amravati District,17634270,27223482345.117233
Maharashtra,2022,3,Washim District,17502495,31020762468.64743
Maharashtra,2022,3,Sangli District,17044884,26797586211.87354
Maharashtra,2022,3,Gadchiroli District,2957701,5179151794.127684
Maharashtra,2022,3,Raigad District,28475145,36394835874.96222
Maharashtra,2022,3,Palghar District,21251118,27858158775.203854
Maharashtra,2022,3,Jalna District,11721876,19006868142.51997
Maharashtra,2022,3,Gondia District,4236959,7259174997.297247
Maharashtra,2022,3,Ahmednagar District,42461860,70593347849.70448
Maharashtra,2022,3,Pune District,505018506,549531791371.83484
Maharashtra,2022,3,Beed District,15769922,29258345493.69794
Maharashtra,2022,3,Satara District,19771454,27386242964.31411
Maharashtra,2022,4,Jalgaon District,24441243,40517965270.04435
Maharashtra,2022,4,Latur District,20623462,30658727472.04145
Maharashtra,2022,4,Thane District,96634264,120463884034.5452
Maharashtra,2022,4,Bhandara District,5270967,8540677015.448907
Maharashtra,2022,4,Nandurbar District,5572337,9126918822.196335
Maharashtra,2022,4,Chandrapur District,12283830,17204912500.02456
Maharashtra,2022,4,Kolhapur District,29228843,40981314698.61918
Maharashtra,2022,4,Solapur District,49452868,83291615226.59082
Maharashtra,2022,4,Mumbai District,75229421,102451767492.8262
Maharashtra,2022,4,Sindhudurg District,1712359,2782675279.823016
Maharashtra,2022,4,Dhule District,11758841,19363163562.560852
Maharashtra,2022,4,Wardha District,6408966,9434313416.124731
Maharashtra,2022,4,Parbhani District,11428317,17658440737.31428
Maharashtra,2022,4,Mumbai Suburban District,248827345,310278216439.5166
Maharashtra,2022,4,Hingoli District,4938947,8011969252.235459
Maharashtra,2022,4,Ratnagiri District,4187852,6141314534.311142
Maharashtra,2022,4,Nanded District,22110992,36598174602.17857
Maharashtra,2022,4,Osmanabad District,13538711,22307513856.264214
Maharashtra,2022,4,Nagpur District,82944788,116240666679.72598
Maharashtra,2022,4,Buldhana District,16400739,26195814509.129578
Maharashtra,2022,4,Nashik District,95624463,138499252102.65768
Maharashtra,2022,4,Akola District,10468300,15615681678.38127
Maharashtra,2022,4,Yavatmal District,12034565,18674258813.04067
Maharashtra,2022,4,Aurangabad District,67307091,90151467648.57759
Maharashtra,2022,4,Amravati District,21183979,33412668570.328373
Maharashtra,2022,4,Washim District,5525504,8785703923.956085
Maharashtra,2022,4,Sangli District,19941978,31162211677.01732
Maharashtra,2022,4,Gadchiroli District,3487868,6144813641
Maharashtra,2022,4,Raigad District,32354836,40318975044.95994
Maharashtra,2022,4,Palghar District,24405823,31394133934.021248
Maharashtra,2022,4,Jalna District,12883252,20770728450
Maharashtra,2022,4,Gondia District,4897879,8274042899.5504055
Maharashtra,2022,4,Ahmednagar District,50187075,84188481406.43468
Maharashtra,2022,4,Pune District,544687754,590334491443.0928
Maharashtra,2022,4,Beed District,17664451,32278259899.81578
Maharashtra,2022,4,Satara District,23125362,32215623083
Manipur,2018,1,Kangpokpi District,4187,12129421.38384918
Manipur,2018,1,Noney District,646,747261.2810295916
Manipur,2018,1,Imphal East District,21960,26028937.810027562
Manipur,2018,1,Thoubal District,8288,8366772.887529282
Manipur,2018,1,Kakching District,1622,1924584.2384454876
Manipur,2018,1,Jiribam District,1305,3564799.4519929583
Manipur,2018,1,Ukhrul District,1399,1647288.6651835062
Manipur,2018,1,Tamenglong District,1007,1709209.2458958817
Manipur,2018,1,Kamjong District,329,236107.7403536682
Manipur,2018,1,Chandel District,880,1376995.1405003848
Manipur,2018,1,Bishnupur District,7005,11341627.66784508
Manipur,2018,1,Senapati District,613,577840.1682329748
Manipur,2018,1,Pherzawl District,2,778.0896294258192
Manipur,2018,1,Churachandpur District,4081,11708258.721273841
Manipur,2018,1,Tengnoupal District,882,660028.7721459618
Manipur,2018,1,Imphal West District,29863,46026262.666274294
Manipur,2018,2,Kangpokpi District,6741,20315625.916537788
Manipur,2018,2,Noney District,1051,2486030.8565162863
Manipur,2018,2,Imphal East District,42065,54561898.745482706
Manipur,2018,2,Thoubal District,20689,17968719.21656375
Manipur,2018,2,Kakching District,3879,6411513.656549769
Manipur,2018,2,Jiribam District,2710,6467614.407545684
Manipur,2018,2,Ukhrul District,2800,6394470.819340965
Manipur,2018,2,Tamenglong District,1714,4747280.086110413
Manipur,2018,2,Kamjong District,340,446574.11265748634
Manipur,2018,2,Chandel District,1619,3525831.9511511945
Manipur,2018,2,Bishnupur District,11338,19352100.53894212
Manipur,2018,2,Senapati District,970,2034357.3575923673
Manipur,2018,2,Pherzawl District,11,1036.3525697348664
Manipur,2018,2,Churachandpur District,7110,18055703.27078783
Manipur,2018,2,Tengnoupal District,2080,6077962.2428630125
Manipur,2018,2,Imphal West District,46604,84363001.78828333
Manipur,2018,3,Kangpokpi District,9151,27937402.09243063
Manipur,2018,3,Noney District,1636,3959453.6371438224
Manipur,2018,3,Imphal East District,60511,89605715.78431109
Manipur,2018,3,Thoubal District,19399,34092748.23724542
Manipur,2018,3,Kakching District,4590,9968419.417644013
Manipur,2018,3,Jiribam District,3959,6601625.253335206
Manipur,2018,3,Ukhrul District,3600,9802720.723219434
Manipur,2018,3,Tamenglong District,2829,6192820.941522401
Manipur,2018,3,Kamjong District,349,673262.7657017015
Manipur,2018,3,Chandel District,2591,5588239.711362864
Manipur,2018,3,Bishnupur District,13649,24368236.71101466
Manipur,2018,3,Senapati District,1416,2555370.7700600782
Manipur,2018,3,Pherzawl District,48,97583.08278583639
Manipur,2018,3,Churachandpur District,8671,27468832.41
Manipur,2018,3,Tengnoupal District,3282,13385091.180977922
Manipur,2018,3,Imphal West District,53577,121033722.07207741
Manipur,2018,4,Kangpokpi District,13325,42081524.60610112
Manipur,2018,4,Noney District,2598,7315230.191123211
Manipur,2018,4,Imphal East District,54610,129176222.4126263
Manipur,2018,4,Thoubal District,24817,52899731.29086943
Manipur,2018,4,Kakching District,6508,13429124.004544502
Manipur,2018,4,Jiribam District,5444,13414981.16
Manipur,2018,4,Ukhrul District,4538,15201316.568829259
Manipur,2018,4,Tamenglong District,4866,13057576.007177811
Manipur,2018,4,Kamjong District,845,2822478.1128238714
Manipur,2018,4,Chandel District,4425,13092276.48848191
Manipur,2018,4,Bishnupur District,19048,37263259.12396772
Manipur,2018,4,Senapati District,2902,7569372.186811532
Manipur,2018,4,Pherzawl District,112,103445.61904358957
Manipur,2018,4,Churachandpur District,14801,54503246.75234864
Manipur,2018,4,Tengnoupal District,5426,22155446.62844094
Manipur,2018,4,Imphal West District,71845,181598328.15686062
Manipur,2019,1,Kangpokpi District,15937,42225052.52830845
Manipur,2019,1,Noney District,3526,7995454.9708068315
Manipur,2019,1,Imphal East District,65076,147611078.9308065
Manipur,2019,1,Thoubal District,24257,47210976.00123881
Manipur,2019,1,Kakching District,6683,13774811.29579331
Manipur,2019,1,Jiribam District,5957,16988787.69086654
Manipur,2019,1,Ukhrul District,6222,16838560.88842248
Manipur,2019,1,Tamenglong District,6373,13975000.54
Manipur,2019,1,Kamjong District,994,2575925.7869967697
Manipur,2019,1,Chandel District,4711,14267105.401719611
Manipur,2019,1,Bishnupur District,19486,48193281.39036342
Manipur,2019,1,Senapati District,3382,7787710.744660139
Manipur,2019,1,Pherzawl District,189,363380.8157813267
Manipur,2019,1,Churachandpur District,16940,53360483.200224034
Manipur,2019,1,Tengnoupal District,6064,21054191.304917272
Manipur,2019,1,Imphal West District,79612,205676258.93003768
Manipur,2019,2,Kangpokpi District,16230,47129360.10420916
Manipur,2019,2,Noney District,3382,10075253.47749266
Manipur,2019,2,Imphal East District,60830,163251483.3940719
Manipur,2019,2,Thoubal District,20528,50609235.60475471
Manipur,2019,2,Kakching District,6912,16106582.07
Manipur,2019,2,Jiribam District,6285,17270321.13495751
Manipur,2019,2,Ukhrul District,7984,21521804.28243749
Manipur,2019,2,Tamenglong District,5763,15814788.02104999
Manipur,2019,2,Kamjong District,974,3032919.691310563
Manipur,2019,2,Chandel District,5816,18618364.59858592
Manipur,2019,2,Bishnupur District,17577,41645991.98921693
Manipur,2019,2,Senapati District,4057,9803824.584911618
Manipur,2019,2,Pherzawl District,226,354755.2995869209
Manipur,2019,2,Churachandpur District,15958,52974898.07418257
Manipur,2019,2,Tengnoupal District,6226,22523708.10563105
Manipur,2019,2,Imphal West District,78677,232056651.71484098
Manipur,2019,3,Kangpokpi District,23953,61269618.19095348
Manipur,2019,3,Noney District,4592,10163311.00111577
Manipur,2019,3,Imphal East District,79728,206224069.84990162
Manipur,2019,3,Thoubal District,25149,56874722.87584109
Manipur,2019,3,Kakching District,10786,21658629.89109011
Manipur,2019,3,Jiribam District,6684,15754766.09675823
Manipur,2019,3,Ukhrul District,11017,25516446.13860418
Manipur,2019,3,Tamenglong District,9939,22282886.13079204
Manipur,2019,3,Kamjong District,1537,3909906.0631627766
Manipur,2019,3,Chandel District,9230,20201420.06184667
Manipur,2019,3,Bishnupur District,23755,49667965.86779255
Manipur,2019,3,Senapati District,5730,12992196.55965154
Manipur,2019,3,Pherzawl District,370,763600.6287200841
Manipur,2019,3,Churachandpur District,23946,67550608.43753463
Manipur,2019,3,Tengnoupal District,7570,21841055.265559103
Manipur,2019,3,Imphal West District,101022,266880799.5036096
Manipur,2019,4,Kangpokpi District,28686,74931231.19366804
Manipur,2019,4,Noney District,6326,14165358.76754523
Manipur,2019,4,Imphal East District,96589,249197379.85855162
Manipur,2019,4,Thoubal District,32971,73727196.96627039
Manipur,2019,4,Kakching District,12984,31541265.822046842
Manipur,2019,4,Jiribam District,7943,19814795.85459569
Manipur,2019,4,Ukhrul District,12148,33065935.19669049
Manipur,2019,4,Tamenglong District,11954,27326669.899029642
Manipur,2019,4,Kamjong District,1618,5668618.538
Manipur,2019,4,Chandel District,11650,30393939.87
Manipur,2019,4,Bishnupur District,31835,72704593.78015086
Manipur,2019,4,Senapati District,7994,15860386.82079871
Manipur,2019,4,Pherzawl District,537,1737007.4828713536
Manipur,2019,4,Churachandpur District,26420,76031748.45585427
Manipur,2019,4,Tengnoupal District,9616,28805257.52817887
Manipur,2019,4,Imphal West District,150073,445926296.0528502
Manipur,2020,1,Kangpokpi District,33643,81400323.90620552
Manipur,2020,1,Noney District,8941,23331883.38449249
Manipur,2020,1,Imphal East District,97573,222479758.42504123
Manipur,2020,1,Thoubal District,40558,92413414.34
Manipur,2020,1,Kakching District,16690,37525920.224365644
Manipur,2020,1,Jiribam District,8704,20332072.39
Manipur,2020,1,Ukhrul District,13355,30659040.231015503
Manipur,2020,1,Tamenglong District,14451,31491246.17045552
Manipur,2020,1,Kamjong District,2768,6910208.366847619
Manipur,2020,1,Chandel District,13716,31278977.085135244
Manipur,2020,1,Bishnupur District,40172,83818557.86725357
Manipur,2020,1,Senapati District,9922,18344875.73618003
Manipur,2020,1,Pherzawl District,982,1624394.409407775
Manipur,2020,1,Churachandpur District,33637,84566221.45
Manipur,2020,1,Tengnoupal District,12297,33219739.52686035
Manipur,2020,1,Imphal West District,471392,1799193747.3658042
Manipur,2020,2,Kangpokpi District,48617,105034881.0369594
Manipur,2020,2,Noney District,14604,44082720.74102519
Manipur,2020,2,Imphal East District,127255,269647863.4
Manipur,2020,2,Thoubal District,66183,158615301.5132838
Manipur,2020,2,Kakching District,30404,53791181.45126964
Manipur,2020,2,Jiribam District,13861,28862256.51424871
Manipur,2020,2,Ukhrul District,24243,43560417.96634197
Manipur,2020,2,Tamenglong District,21294,47020896.803083815
Manipur,2020,2,Kamjong District,4430,11168145.84426119
Manipur,2020,2,Chandel District,21517,49008541.100852005
Manipur,2020,2,Bishnupur District,70841,142299534.9528148
Manipur,2020,2,Senapati District,17187,27792929.584587093
Manipur,2020,2,Pherzawl District,1363,4220742.5953207435
Manipur,2020,2,Churachandpur District,50818,128936170.2549285
Manipur,2020,2,Tengnoupal District,18676,50033115.32
Manipur,2020,2,Imphal West District,551775,2034861513.6925411
Manipur,2020,3,Kangpokpi District,56646,141494952.88474348
Manipur,2020,3,Noney District,12955,42576247.008017324
Manipur,2020,3,Imphal East District,148992,357420385.4660148
Manipur,2020,3,Thoubal District,75667,178314817.4095067
Manipur,2020,3,Kakching District,33268,72744605.62932977
Manipur,2020,3,Jiribam District,17173,44785891.804611705
Manipur,2020,3,Ukhrul District,27857,63120519.96337035
Manipur,2020,3,Tamenglong District,24595,57102594.74572652
Manipur,2020,3,Kamjong District,5040,16944663.48515765
Manipur,2020,3,Chandel District,25158,63504521.07112962
Manipur,2020,3,Bishnupur District,82097,178752852.0332132
Manipur,2020,3,Senapati District,22336,47618195.96020885
Manipur,2020,3,Pherzawl District,2016,4920973.997680077
Manipur,2020,3,Churachandpur District,61160,179008408.76793513
Manipur,2020,3,Tengnoupal District,19244,50761115.422037035
Manipur,2020,3,Imphal West District,805964,3116905375.221828
Manipur,2020,4,Kangpokpi District,74472,216458503.2885683
Manipur,2020,4,Noney District,14618,52819316.83640482
Manipur,2020,4,Imphal East District,179438,524041651.0001225
Manipur,2020,4,Thoubal District,87208,249311101.38298762
Manipur,2020,4,Kakching District,37180,96767393.90324816
Manipur,2020,4,Jiribam District,19898,56276520.99872882
Manipur,2020,4,Ukhrul District,32947,91688189.17603046
Manipur,2020,4,Tamenglong District,27674,77956516.78360562
Manipur,2020,4,Kamjong District,6676,21815826.79135724
Manipur,2020,4,Chandel District,31540,90473275.49273106
Manipur,2020,4,Bishnupur District,95869,267444206.3886954
Manipur,2020,4,Senapati District,27636,79537295.38666978
Manipur,2020,4,Pherzawl District,2329,4810299.528864712
Manipur,2020,4,Churachandpur District,71693,243354880.5430908
Manipur,2020,4,Tengnoupal District,23797,81989716.01
Manipur,2020,4,Imphal West District,894877,3447479864.951691
Manipur,2021,1,Kangpokpi District,63234,205050443.8236801
Manipur,2021,1,Noney District,12635,47249169.68840321
Manipur,2021,1,Imphal East District,161841,530028907.0928848
Manipur,2021,1,Thoubal District,72593,240713473.6681419
Manipur,2021,1,Kakching District,29803,92307870.36114596
Manipur,2021,1,Jiribam District,16697,58448279.737162024
Manipur,2021,1,Ukhrul District,22415,68745913.46443734
Manipur,2021,1,Tamenglong District,20962,72960342.05136192
Manipur,2021,1,Kamjong District,6312,24926447.76105148
Manipur,2021,1,Chandel District,23884,80445733.20656839
Manipur,2021,1,Bishnupur District,73777,255486792.7272072
Manipur,2021,1,Senapati District,22025,73777202.51
Manipur,2021,1,Pherzawl District,1714,4788028.467703758
Manipur,2021,1,Churachandpur District,62755,250250943.4094815
Manipur,2021,1,Tengnoupal District,19430,102554591.1971744
Manipur,2021,1,Imphal West District,1693458,4962553375.308464
Manipur,2021,2,Kangpokpi District,78765,236369410.09906262
Manipur,2021,2,Noney District,13296,49460189.27496501
Manipur,2021,2,Imphal East District,179337,491977805.97917175
Manipur,2021,2,Thoubal District,91264,268514237.4881531
Manipur,2021,2,Kakching District,37444,92311646.34027097
Manipur,2021,2,Jiribam District,21823,67560643.64335921
Manipur,2021,2,Ukhrul District,28524,81225585.72
Manipur,2021,2,Tamenglong District,24852,77929754.45097202
Manipur,2021,2,Kamjong District,6983,31394830.19574834
Manipur,2021,2,Chandel District,29178,90054101.93360363
Manipur,2021,2,Bishnupur District,89095,260900495.16290623
Manipur,2021,2,Senapati District,25681,70219657.88
Manipur,2021,2,Pherzawl District,1842,5443830.799674254
Manipur,2021,2,Churachandpur District,80524,273962339.39499444
Manipur,2021,2,Tengnoupal District,23771,94806974.44450317
Manipur,2021,2,Imphal West District,2353896,5697696459.585503
Manipur,2021,3,Kangpokpi District,94883,299760833.4043892
Manipur,2021,3,Noney District,16371,63161488.24690457
Manipur,2021,3,Imphal East District,226128,705081475.2381085
Manipur,2021,3,Thoubal District,113257,363547884.1177802
Manipur,2021,3,Kakching District,44277,128692670
Manipur,2021,3,Jiribam District,26615,80773937.39020778
Manipur,2021,3,Ukhrul District,35250,118509943.9038784
