States,year,quarter,District,trans_counts,amount
Andhra Pradesh,2022,1,Spsr Nellore District,47645702,104895571602.1398
Andhra Pradesh,2022,1,Vizianagaram District,19278262,41994853361.58878
Andhra Pradesh,2022,1,Visakhapatnam District,88233362,1.7012E+11
Andhra Pradesh,2022,1,Prakasam District,31340975,79494373254.71565
Andhra Pradesh,2022,1,Anantapur District,40613148,90197023268.43825
Andhra Pradesh,2022,1,Ysr District,29783739,78421693518.90942
Andhra Pradesh,2022,1,West Godavari District,37271259,92397939903.60939
Andhra Pradesh,2022,1,Kurnool District,35093633,81568420500.54749
Andhra Pradesh,2022,1,Chittoor District,58561024,1.17901E+11
Andhra Pradesh,2022,1,Guntur District,57226996,129673727687.0894
Andhra Pradesh,2022,1,Krishna District,61826199,139690081529.49042
Andhra Pradesh,2022,2,East Godavari District,62072845,135531452997.63911
Andhra Pradesh,2022,2,Srikakulam District,23727353,53754764122.43269
Andhra Pradesh,2022,2,Spsr Nellore District,54838708,121941082043.49481
Andhra Pradesh,2022,2,Vizianagaram District,21766135,47294745020.495636
Andhra Pradesh,2022,2,Visakhapatnam District,101387402,193242841582.14282
Andhra Pradesh,2022,2,Prakasam District,36163507,90435082545.97766
Andhra Pradesh,2022,2,Anantapur District,46099366,102138758015.7691
Andhra Pradesh,2022,2,Ysr District,33154559,87601310069.59737
Andhra Pradesh,2022,2,West Godavari District,44409239,107973244960.42819
Andhra Pradesh,2022,2,Kurnool District,40165692,92409350855.50198
Andhra Pradesh,2022,2,Chittoor District,67507661,136435445124.75612
Andhra Pradesh,2022,2,Guntur District,66315749,147098141568.7623
Andhra Pradesh,2022,2,Krishna District,73525814,163997729295.9313
Andhra Pradesh,2022,3,East Godavari District,61467134,129677722169.7482
Andhra Pradesh,2022,3,Srikakulam District,22126541,46899962921.785614
Andhra Pradesh,2022,3,Spsr Nellore District,42116582,95099325968.25972
Andhra Pradesh,2022,3,Vizianagaram District,20440645,42513313394.84207
Andhra Pradesh,2022,3,Visakhapatnam District,97434546,181124419863.6144
Andhra Pradesh,2022,3,Prakasam District,35376080,87475230073.46388
Andhra Pradesh,2022,3,Anantapur District,45165363,97735649608.10074
Andhra Pradesh,2022,3,Ysr District,33119038,86016932181.12372
Andhra Pradesh,2022,3,West Godavari District,43635951,101706854744.31871
Andhra Pradesh,2022,3,Kurnool District,39557913,88415335176.31995
Andhra Pradesh,2022,3,Chittoor District,65751781,133053581631.6395
Andhra Pradesh,2022,3,Guntur District,65612317,141588522953.2377
Andhra Pradesh,2022,3,Krishna District,71051144,153770559025.69122
Andhra Pradesh,2022,4,East Godavari District,68016055,136531110139.8625
Andhra Pradesh,2022,4,Srikakulam District,23693779,47726411107.886284
Andhra Pradesh,2022,4,Spsr Nellore District,42582064,92085916181
Andhra Pradesh,2022,4,Vizianagaram District,22205190,44467386404.34759
Andhra Pradesh,2022,4,Visakhapatnam District,103790055,185306149744.73102
Andhra Pradesh,2022,4,Prakasam District,37211077,88105031866.36835
Andhra Pradesh,2022,4,Anantapur District,48299601,101533878537.2343
Andhra Pradesh,2022,4,Ysr District,35201596,87360426792.81667
Andhra Pradesh,2022,4,West Godavari District,47919930,105335724990.5932
Andhra Pradesh,2022,4,Kurnool District,43524766,94667441029.08345
Andhra Pradesh,2022,4,Chittoor District,70322534,136840859888.1815
Andhra Pradesh,2022,4,Guntur District,70723763,146938735166.5236
Andhra Pradesh,2022,4,Krishna District,76526667,157826011193.3544
Arunachal Pradesh,2018,1,Lower Dibang Valley District,1356,1076236.814073793
Arunachal Pradesh,2018,1,Lower Subansiri District,1477,3650727.893614269
Arunachal Pradesh,2018,1,Longding District,2321,4361531.578447229
Arunachal Pradesh,2018,1,West Siang District,1887,4796675.565399804
Arunachal Pradesh,2018,1,Kamle District,14,7971.330494807651
Arunachal Pradesh,2018,1,Upper Siang District,126,186610.66988095018
Arunachal Pradesh,2018,1,Tirap District,945,1064265.0002443574
